,total_shootings,date,city,county,age,race,ACAD_HRS_ADD,FLD_HRS_ADD,OPBUDGET_2019,department,state,POPULATION,shootings_per_100k,budget_per_100k,FLD_HRS_ST,ACAD_HRS_ST,FLD_HRS_TOT,ACAD_HRS_TOT,female,male,local_other,local_police,sheriff,state_police
905,12,2016-04-08,Lake Hallie,Chippewa,25.0,W,536,560,176882680.0,Shelby County Sheriff's Office,TN,119541,10.038396868020177,147968211.74325126,0,400,560,936,1,0,0,0,1,0
907,1,2016-03-27,Splendora,Montgomery,33.0,W,0,400,3031287.0,Shelbyville Police Department,TN,22326,4.479082683866344,13577385.11152916,0,480,400,480,0,1,0,1,0,0
908,12,2015-08-23,Archdale,Randolph,53.0,B,140,640,59966400.0,Shreveport Police Department,LA,184786,6.49399846308703,32451809.119738508,0,400,640,540,0,1,0,1,0,0
910,1,2018-02-25,Casper,Natrona,36.0,W,0,0,36131593.0,Simi Valley Police Department,CA,125168,0.7989262431292343,28866477.85376454,800,887,800,887,0,1,0,1,0,0
911,1,2016-05-21,Flagstaff,,31.0,N,80,680,22649749.0,Sioux City Police Department,IA,82759,1.2083277951642721,27368321.270194177,0,640,680,720,0,1,0,1,0,0
912,5,2017-02-04,Kansas City,,68.0,B,360,520,38990750.0,Sioux Falls Police Department,SD,187809,2.662279230494811,20760852.78128311,0,520,520,880,0,1,0,1,0,0
917,2,2017-03-04,Oklahoma City,Oklahoma,38.0,W,0,0,2096485.0,Snyder Police Department,TX,11005,18.173557473875512,19050295.32030895,160,696,160,696,0,1,0,1,0,0
918,2,2018-03-08,Pottstown,Montgomery,,,356,160,119815177.0,Solano County Sheriff's Office,CA,19862,10.069479407914612,603238228.7785722,400,664,560,1020,0,1,0,0,1,0
919,2,2015-04-26,Bunch,Adair,29.0,W,80,0,184901167.0,Sonoma County Sheriff's Department,CA,504000,0.3968253968253968,36686739.484126985,480,664,480,744,0,1,0,0,1,0
922,1,2017-09-01,Pittsfield,Berkshire,36.0,W,0,0,4600000.0,South Milwaukee Police Department,WI,20673,4.837227301310889,22251245.58603009,400,720,400,720,0,1,0,1,0,0
924,12,2016-01-11,Cincinnati,Hamilton,45.0,W,0,120,32000000.0,Sparks Police,NV,106900,11.225444340505145,29934518.241347056,560,720,680,720,0,1,0,1,0,0
925,8,2015-02-18,Charlotte,Mecklenburg,20.0,B,0,240,26443202.0,Spartanburg County Sheriff's Department,SC,319785,2.5016808167987867,8269056.397266914,0,480,240,480,1,0,0,0,1,0
926,18,2015-08-05,Tacoma,Pierce,40.0,W,0,800,61831752.0,Spokane Police Department,WA,222050,8.106282368835847,27845868.94843504,0,720,800,720,0,1,0,1,0,0
927,3,2016-04-19,St. Louis,St. Louis City,15.0,B,0,0,18732990.0,Springdale Police Department,AR,81115,3.6984528139061825,23094359.859458793,560,520,560,520,0,1,0,1,0,0
929,2,2018-01-26,Las Vegas,,42.0,H,100,240,49973520.0,Springfield Police Department,MA,152646,1.3102210342884846,32738178.530718133,0,800,240,900,0,1,0,1,0,0
930,14,2015-01-27,Columbus,Franklin,33.0,B,460,520,42605053.0,Springfield Police Department,MO,168090,8.328871437920162,25346572.074483905,0,600,520,1060,0,1,0,1,0,0
931,2,2016-03-19,Covington,,24.0,W,80,300,29545492.0,Stafford County Sheriff's Department,VA,153392,1.3038489621362261,19261429.540002085,100,760,400,840,0,1,0,0,1,0
932,1,2016-05-25,Miami Gardens,Miami-Dade,24.0,B,0,80,52000000.0,Stamford Police Department,CT,131397,0.761052383235538,39574723.92824798,400,1040,480,1040,0,1,0,1,0,0
933,7,2016-06-29,Barbourville,,30.0,W,106,80,153398980.0,Stanislaus County Sheriff's Department,CA,550660,1.271201830530636,27857294.88250463,400,664,480,770,0,1,0,0,1,0
934,1,2015-08-28,Spanish Fork,Utah,28.0,W,0,0,24890000.0,St. Bernard Parish Sheriff's Department,LA,50000,2.0,49780000.0,540,496,540,496,0,1,0,0,1,0
935,2,2018-04-11,Winn Parish,Winn,50.0,W,0,0,20611514.0,St. Charles Police Department,MO,71761,2.787029166260225,28722445.33939048,647,600,647,600,0,1,0,1,0,0
936,1,2017-08-29,Jacksonville,Calhoun,68.0,,400,640,19200000.0,St. Cloud Police Department,MN,68510,1.4596409283316303,28025105.823967304,0,480,640,880,0,1,0,1,0,0
937,1,2015-12-22,Albuquerque,Bernalillo,19.0,H,0,0,2606721.0,Steilacoom Police Department,WA,6416,15.586034912718207,40628444.513715714,560,720,560,720,0,1,0,1,0,0
939,5,2015-05-20,Owensboro,Daviess,38.0,B,0,800,82272408.0,St. John's County Sheriff's Office,FL,265512,1.8831540570671004,30986323.781975955,0,160,800,160,0,1,0,0,1,0
940,1,2018-03-06,Shelbyville,Shelby,70.0,W,0,800,82272408.0,St. Johns County Sheriff's Office,FL,265512,0.3766308114134201,30986323.781975955,0,160,800,160,0,1,0,0,1,0
941,1,2017-09-15,Haymarket,Prince William,15.0,H,0,40,12267666.0,St. Joseph County (PD) Sheriff's Department,IN,271826,0.36788239535585265,4513058.353505552,448,1200,488,1200,0,1,0,0,1,0
