,total_shootings,date,city,county,age,race,ACAD_HRS_ADD,FLD_HRS_ADD,OPBUDGET_2019,department,state,POPULATION,shootings_per_100k,budget_per_100k,FLD_HRS_ST,ACAD_HRS_ST,FLD_HRS_TOT,ACAD_HRS_TOT,female,male,local_other,local_police,sheriff,state_police
942,3,2016-06-26,Dolton,Cook,30.0,B,120,560,19934161.0,St. Joseph Police Department,MO,74074,4.05000405000405,26911144.26114426,0,600,560,720,0,1,0,1,0,0
943,1,2015-11-29,Maysville,DeKalb,53.0,W,0,0,14299247.0,St. Landry Parish Sheriff's Department,LA,83334,1.1999904000767994,17158959.128326975,480,535,480,535,0,1,0,0,1,0
944,15,2015-03-01,Barton,George,49.0,W,900,640,136708269.0,St. Louis County Police Department,MO,420900,3.5637918745545263,32479987.88310763,0,600,640,1500,0,1,0,1,0,0
947,28,2015-02-08,Orange County,Orange,46.0,W,600,600,171426114.0,St. Louis Police Department,MO,297645,9.40717969393069,57594152.09393741,0,600,600,1200,0,1,0,1,0,0
948,2,2015-11-05,Goose Creek,Berkeley,36.0,W,75,588,14367797.0,St. Martin Parish Sheriff's Department,LA,37234,5.371434710211098,38587841.75753344,0,496,588,571,1,0,0,0,1,0
950,15,2015-02-21,Indianapolis,Marion,51.0,W,664,800,135600000.0,Stockton Police Department,CA,312716,4.796684531651723,43362028.16613157,640,664,1440,1328,0,1,0,1,0,0
951,11,2015-01-15,Fairfield,Solano,36.0,H,640,640,100637713.0,St. Paul Police Department,MN,306717,3.586367889618117,32811260.217073068,0,640,640,1280,0,1,0,1,0,0
952,6,2015-05-27,Edmond,Oklahoma,24.0,W,0,80,115000000.0,St. Petersburg Police Department,FL,267802,2.24046123628651,42942173.69549144,480,790,560,790,0,1,0,1,0,0
953,2,2018-04-20,Orlando,Orange,48.0,B,0,0,14600445.0,St. Peters Police Department,MO,58043,3.445721275606016,25154531.984907743,480,600,480,600,0,1,0,1,0,0
954,1,2017-10-12,Homewood,Jefferson,35.0,B,0,80,10957380.0,Stratford Police Department,CT,51660,1.9357336430507164,21210569.10569106,400,880,480,880,0,1,0,1,0,0
955,7,2015-09-01,Twinsburg,Summit,76.0,W,102,480,71207051.0,St. Tammany Parish Sheriff's Office,LA,210000,3.333333333333333,33908119.52380952,0,501,480,603,0,1,0,0,1,0
956,6,2015-04-29,Atlanta,Fulton,25.0,B,0,0,177441949.0,Suffolk County Police Department,NY,1468140,0.40868037108177696,12086173.593798956,160,699,160,699,1,0,0,1,0,0
957,1,2017-06-11,Milwaukee,Milwaukee,19.0,B,0,0,177441949.0,Suffolk County Sheriff's Office,NY,1468140,0.06811339518029616,12086173.593798956,160,699,160,699,0,1,0,0,1,0
958,1,2015-11-12,Sunnyvale,Santa Clara,42.0,B,280,0,28050816.0,Suffolk Police Department,VA,93913,1.0648153077848648,29868938.27265661,100,480,100,760,0,1,0,1,0,0
959,1,2018-03-01,Henrico,Henrico,40.0,B,240,640,21182327.0,Sugar Land Police Department,TX,117875,0.848356309650053,17970160.76352068,0,618,640,858,0,1,0,1,0,0
960,5,2017-03-08,Riverside,Riverside,,,0,0,23878573.0,Sullivan County Sheriff's Office,TN,158348,3.1576022431606336,15079807.133654987,40,488,40,488,0,1,0,0,1,0
961,1,2018-04-18,Douglasville,Douglas,32.0,W,0,0,1600000.0,Summersville Police Department,WV,3225,31.007751937984494,49612403.10077519,160,640,160,640,0,1,0,1,0,0
962,1,2015-07-07,Dallas,Dallas,59.0,W,0,0,436000000.0,Summit County Sheriff's Office,OH,541013,0.18483844195980503,80589560.694475,320,740,320,740,0,1,0,0,1,0
963,1,2016-01-28,Tacoma,Pierce,32.0,N,42,285,24147368.0,Sumner County Sheriff's Office,TN,191283,0.522785610848847,12623896.5302719,425,489,710,531,1,0,0,0,1,0
964,2,2017-01-26,Madison Township,Franklin,34.0,W,0,752,32750834.0,Sumter County Sheriff's Department,FL,132420,1.5103458692040477,24732543.42244374,0,770,752,770,0,1,0,0,1,0
965,3,2017-07-03,Hillsboro,Washington,25.0,W,0,0,11061945.0,Sumter County Sheriff's Office,SC,107000,2.803738317757009,10338266.355140187,635,462,635,462,0,1,0,0,1,0
966,1,2016-05-20,Omaha,Douglas,31.0,B,100,800,10173931.0,Sumter Police Department,SC,39439,2.5355612464819086,25796625.16798093,0,462,800,562,0,1,0,1,0,0
967,4,2015-02-28,St Louis,St. Louis City,34.0,B,0,0,98366896.0,Sunnyvale Police Department,CA,151746,2.6359838150593755,64823386.4484072,800,1100,800,1100,0,1,0,1,0,0
968,2,2016-09-02,Round Lake,Lake,22.0,W,0,560,49318390.0,Sunrise Police Department,FL,94851,2.1085702839189886,51995645.80236371,0,770,560,770,0,1,0,1,0,0
969,3,2016-05-14,Stockbridge,Henry,34.0,W,0,200,28478300.0,Surprise Police Department,AZ,147965,2.0275065049167034,19246646.166323118,680,585,880,585,0,1,0,1,0,0
971,6,2015-12-24,Pride,East Baton Rouge,54.0,,552,288,48960741.0,Syracuse Police Department,NY,141229,4.2484192340100115,34667625.6292971,160,540,448,1092,0,1,0,1,0,0
973,6,2015-03-21,Harmony,Clay,60.0,W,0,320,60942296.0,Tallahassee Police Department,FL,196326,3.056141315974451,31041378.11599075,720,770,1040,770,0,1,0,1,0,0
974,1,2015-01-31,Houston,Harris,31.0,H,0,240,4058476.0,Tallapoosa County Sheriff's Department,AL,23499,4.255500234052513,17270845.567896508,0,520,240,520,0,1,0,0,1,0
975,10,2015-03-19,Sumas,Whatcom,20.0,W,480,360,162695004.0,Tampa Police Department,FL,407599,2.453391691343698,39915457.103672974,640,770,1000,1250,0,1,0,1,0,0
976,1,2016-04-11,Las Vegas,Clark,22.0,H,0,480,4579446.0,Taney County Sheriff's Office,MO,37500,2.6666666666666665,12211856.0,0,700,480,700,0,1,0,0,1,0
977,3,2017-01-01,Springfield,Greene,44.0,B,40,432,20203500.0,Tangipahoa Parish Sheriff's Department,LA,134758,2.226212915003191,14992430.87608899,0,496,432,536,0,1,0,0,1,0
978,2,2015-11-04,Pacific Beach,San Diego,47.0,W,40,250,2100000.0,Taos County Sheriff's Department,NM,45000,4.444444444444445,4666666.666666667,0,667,250,707,0,1,0,0,1,0
980,2,2016-09-30,Belleville,Wayne,37.0,W,0,0,3750000.0,Tate County Sheriff's Office,MS,21000,9.523809523809524,17857142.85714286,0,400,0,400,0,1,0,0,1,0
981,1,2018-02-14,Merrillville,,30.0,B,0,640,10200000.0,Taylor Police Department,MI,60576,1.6508188061278395,16838351.82250396,0,594,640,594,0,1,0,1,0,0
982,1,2018-04-05,Reynoldsville,Harrison,59.0,W,16,0,1300000.0,Tell City Police Department,IN,7179,13.92951664577239,18108371.63950411,500,300,500,316,0,1,0,1,0,0
983,11,2015-03-24,San Jose,Santa Clara,57.0,W,960,800,99092331.0,Tempe Police Department,AZ,200402,5.4889671759762875,49446777.477270685,0,585,800,1545,0,1,0,1,0,0
984,2,2017-01-16,Tyrone,Fayette,36.0,W,257,640,19404514.0,Temple Police Department,TX,80761,2.4764428375082033,24027084.855313826,160,643,800,900,0,1,0,1,0,0
985,5,2015-07-26,Seneca,Oconee,19.0,W,110,420,27051000.0,Terrebonne Parish Sheriff's Office,LA,112021,4.4634488176324085,24148150.793154858,0,496,420,606,0,1,0,0,1,0
986,4,2015-04-10,Topeka,Shawnee,38.0,W,80,80,14000000.0,Terre Haute Police Department,IN,60410,6.621420294653204,23174971.031286214,600,480,680,560,0,1,0,1,0,0
987,1,2016-10-26,Bartlesville,Washington,36.0,W,0,800,12171023.0,The Colony Police Department,TX,45498,2.1978988087388456,26750676.95283309,0,696,800,696,0,1,0,1,0,0
988,5,2016-01-18,Medford,Jackson,27.0,W,420,800,37724908.0,Thornton Police Department,CO,148113,3.3758009087656045,25470355.741899766,0,548,800,968,0,1,0,1,0,0
989,5,2015-10-31,Colorado Springs,El Paso,33.0,W,0,0,19319092.0,Thurston County Sheriff's Office,WA,145300,3.4411562284927735,13296002.752924982,534,720,534,720,0,1,0,0,1,0
991,1,2016-07-02,Bristol,Sullivan,50.0,W,0,480,26765835.0,Toms River Police Department,NJ,95339,1.0488887024197864,28074381.9423321,0,960,480,960,0,1,0,1,0,0
993,1,2017-09-02,Beaumont,Riverside,,,0,0,5419556.0,Tooele Police Department,UT,37046,2.6993467580845434,14629260.918857636,504,597,504,597,0,1,0,1,0,0
994,8,2015-03-31,Carollwood,Hillsborough,36.0,W,336,800,40191451.0,Topeka Police Department,KS,124558,6.422710705053068,32267257.82366448,0,560,800,896,0,1,0,1,0,0
995,4,2018-01-05,Springfield,Greene,46.0,W,0,0,2000000.0,Torrance County Sheriff's Office,NM,15461,25.871547765345063,12935773.882672532,480,640,480,640,0,1,0,0,1,0
996,5,2016-04-30,Florence,Pinal,55.0,W,80,0,84319367.0,Torrance Police Department,CA,141553,3.532245872570698,59567347.212704785,670,664,670,744,0,1,0,1,0,0
997,2,2018-04-04,Okmulgee,Okmulgee,27.0,B,288,0,198423870.0,Travis County Sheriff's Office,TX,282746,0.7073486450736703,70177427.79738706,720,696,720,984,0,1,0,0,1,0
998,1,2015-04-01,Hamilton,Mercer,36.0,W,0,40,4612884.0,Trenton Police Department,MI,18031,5.546004104043037,25583073.59547446,640,594,680,594,0,1,0,1,0,0
999,2,2017-01-15,Azusa,Los Angeles,48.0,W,0,0,33301459.0,Trenton Police Department,NJ,82957,2.410887568258254,40143036.75398098,0,176,0,176,0,1,0,1,0,0
1003,37,2015-04-22,Eldorado Springs,Boulder,39.0,A,295,680,181764789.0,Tucson Police Department,AZ,553571,6.683876142355723,32834955.04641681,0,585,680,880,0,1,0,1,0,0
1004,11,2015-09-28,San Ysidro,San Diego,59.0,H,0,0,86933122.0,Tulare County Sheriff's Department,CA,140209,7.845430749809213,62002526.228701435,672,940,672,940,0,1,0,0,1,0
1005,2,2016-12-06,Fruitland Park,Lake,49.0,W,100,48,18476850.0,Tulare Police Department,CA,66797,2.9941464437025616,27661197.359162837,400,1020,448,1120,0,1,0,1,0,0
1006,1,2017-01-28,Apache Junction,Pinal,45.0,W,0,0,590000.0,Tularosa Police Department,NM,3040,32.89473684210526,19407894.736842107,540,677,540,677,0,1,0,1,0,0
1010,2,2016-02-22,Bakersfield,Kern,45.0,W,0,800,10964199.0,Tupelo Police Department,MS,38303,5.221523118293606,28624909.27603582,0,480,800,480,0,1,0,1,0,0
1011,1,2015-11-25,Eagar,Apache,52.0,W,0,0,24937059.0,Union City Police Department,CA,74501,1.3422638622300374,33472113.12599831,384,1064,384,1064,0,1,0,1,0,0
1012,1,2015-03-04,Stockton,San Joaquin,28.0,A,16,24,2976740.0,Union County Sheriff's Department,AR,30000,3.3333333333333335,9922466.666666668,300,480,324,496,0,1,0,0,1,0
1013,2,2016-09-15,Austin,Travis,34.0,W,0,480,34191115.0,Union County Sheriff's Department,NC,239859,0.833823204465957,14254672.536782026,0,634,480,634,0,1,0,0,1,0
1014,1,2016-09-16,Big Bear,Phelps,46.0,,0,80,3991396.0,Union Parish Sheriff's Department,LA,27000,3.7037037037037033,14782948.148148147,0,640,80,640,0,1,0,0,1,0
1017,2,2015-11-19,Fort Pierce,St. Lucie,27.0,B,0,80,31189051.0,Upper Darby Police Department,PA,82883,2.413040068530338,37630214.881218106,480,840,560,840,0,1,0,1,0,0
1019,4,2016-02-05,Milton,Santa Rosa,30.0,W,0,0,52514006.0,Utah County Sheriff's Office,UT,53943,7.415234599484641,97350918.56218602,559,104,559,104,0,1,0,0,1,0
1020,1,2018-04-05,South Bend,,27.0,B,300,320,19202624.0,Utica Police Department,NY,59253,1.68767826101632,32407851.079270247,160,539,480,839,0,1,0,1,0,0
1021,2,2016-08-03,Detroit,Wayne,54.0,W,160,280,39850235.0,Vacaville Police Department,CA,101332,1.9737101803971104,39326407.25535862,400,664,680,824,0,1,0,1,0,0
1022,1,2016-04-15,Cache,Comanche,52.0,W,0,0,15000000.0,Valdosta Police Department,GA,56668,1.7646643608385686,26469965.41257853,600,408,600,408,0,1,0,1,0,0
1023,5,2015-06-12,Kokomo,Howard,17.0,W,0,560,6579002.0,Valencia County Sheriff's Department,NM,77071,6.487524490404951,8536287.31948463,0,677,560,677,1,0,0,0,1,0
1025,9,2016-02-23,Houston,Harris,39.0,H,0,0,56257242.0,Vancouver Police Department,WA,186192,4.833720030935808,30214639.726733696,735,720,735,720,0,1,0,1,0,0
1027,2,2016-04-19,Charlotte,Mecklenburg,41.0,A,24,0,30816762.0,Ventnor Police Department,NJ,9872,20.25931928687196,312163310.37277144,640,880,640,904,0,1,0,1,0,0
1028,3,2015-11-02,Washington,Washington,62.0,B,223,272,208419353.0,Ventura County Sheriff's Department,CA,453000,0.662251655629139,46008687.19646799,400,664,672,887,0,1,0,0,1,0
1029,1,2017-09-06,Charlotte,Mecklenburg,29.0,H,216,420,44938301.0,Ventura Police Department,CA,107110,0.9336196433572963,41955280.55270283,640,664,1060,880,0,1,0,1,0,0
1031,2,2016-12-18,Los Angeles,Los Angeles,20.0,B,0,0,11601400.0,Vernon Parish Sheriff's Office,LA,47429,4.216829365999705,24460562.103354488,160,520,160,520,0,1,0,0,1,0
1032,1,2015-05-06,Wake Forest,Wake,18.0,W,200,650,14184367.0,Victoria Police Department,TX,66838,1.4961548819533799,21222009.93446842,0,696,650,896,0,1,0,1,0,0
1033,3,2016-01-31,Saginaw,Tarrant,25.0,W,0,0,15467172.0,Vineland Police Department,NJ,58615,5.118143819841338,26387736.927407663,500,1100,500,1100,0,1,0,1,0,0
1034,9,2015-08-23,Brick Township,Ocean,21.0,W,560,540,102960533.0,Virginia Beach Police Department,VA,451231,1.994543814587207,22817699.360194664,100,480,640,1040,0,1,0,1,0,0
1035,6,2015-07-04,Oklahoma City,Oklahoma,42.0,B,270,320,42774499.0,Visalia Police Department,CA,135007,4.444214003718326,31683171.242972583,400,664,720,934,0,1,0,1,0,0
1036,15,2015-02-25,Oklahoma City,Oklahoma,27.0,B,240,564,95024819.0,Volusia County Sheriff's Department,FL,238840,6.28035504940546,39785973.45503266,0,770,564,1010,0,1,0,0,1,0
1037,6,2015-06-05,Morgantown,Monongalia,45.0,W,350,639,42369764.0,Waco Police Department,TX,141377,4.2439717917341575,29969347.20640557,1,696,640,1046,1,0,0,1,0,0
1040,4,2015-09-10,Lodi,San Joaquin,32.0,W,0,200,8200000.0,Walker County Sheriff's Office,GA,69700,5.738880918220947,11764705.882352943,0,440,200,440,0,1,0,0,1,0
1042,6,2016-05-04,Burien,King,39.0,W,40,0,18000000.0,Walton County Sheriff's Department,GA,98000,6.122448979591836,18367346.93877551,72,320,72,360,0,1,0,0,1,0
1043,1,2017-12-22,Pocatello,,62.0,,100,100,393000.0,Walton Village Police Department,NY,2776,36.023054755043226,14157060.518731989,160,720,260,820,0,1,0,1,0,0
1044,1,2017-12-27,Chester,Chesterfield,38.0,W,0,0,19825000.0,Warwick Police Department,RI,81189,1.2316939486876302,24418332.532732267,640,880,640,880,0,1,0,1,0,0
1046,2,2015-09-04,Mitchell,Davison,37.0,W,0,0,1623527.0,Washington County Sheriff's Office,AL,19000,10.526315789473685,8544878.94736842,160,560,160,560,0,1,0,0,1,0
1047,3,2016-03-04,Sims,Montgomery,66.0,,0,520,25639819.0,Washington County Sheriff's Office,AR,37350,8.032128514056225,68647440.42838019,0,520,520,520,0,1,0,0,1,0
1048,2,2016-12-21,Burns Flat,,25.0,W,0,20,36000000.0,Washington County Sheriff's Office,MN,262000,0.7633587786259541,13740458.015267175,560,640,580,640,0,1,0,0,1,0
1050,4,2016-01-11,Denver,Denver,32.0,W,0,0,123677838.0,Washoe County Sheriff's Department,NV,110491,3.6202043605361522,111934762.10732095,640,880,640,880,0,1,0,0,1,0
1052,3,2017-03-01,Lufkin,Angelina,40.0,B,0,560,35280000.0,Waukegan Police Department,IL,85453,3.5107017892876784,41285853.0420231,0,560,560,560,0,1,0,1,0,0
1053,1,2017-10-21,Girard,,37.0,W,0,0,1251178.0,Waverly Police Department,TN,4118,24.283632831471586,30383147.15881496,480,480,480,480,0,1,0,1,0,0
1055,1,2018-01-12,Scottsville,,39.0,W,0,0,1200000.0,Waynesboro Police Department,MS,4866,20.55076037813399,24660912.453760788,0,460,0,460,0,1,0,1,0,0
1061,1,2018-03-06,Clinton,Henry,37.0,B,0,288,15300000.0,West New York Police Department,NJ,53132,1.8821049461717985,28796205.676428515,40,840,328,840,0,1,0,1,0,0
1062,3,2017-12-20,Anchorage,Anchorage,56.0,,0,160,65062499.0,West Palm Beach Police Department,FL,112782,2.6599989360004255,57688726.037842914,720,770,880,770,0,1,0,1,0,0
1063,3,2017-08-24,Orange,,24.0,B,0,0,21002784.0,West Sacramento Police Department,CA,53680,5.588673621460506,39125901.63934426,280,664,280,664,0,1,0,1,0,0
1066,1,2016-11-06,Santa Ana,Orange,33.0,H,0,680,6645525.0,Whitehall Police Department,OH,18908,5.288766659614978,35146631.05563783,0,680,680,680,0,1,0,1,0,0
1067,1,2018-02-21,Stratford,Sherman,22.0,B,40,0,948662.0,White Pine Police Department,TN,2634,37.96507213363706,36016021.260440394,192,494,192,534,0,1,0,1,0,0
1069,4,2016-05-07,Presque Isle,Aroostook,29.0,W,0,360,37149457.0,Whittier Police Department,CA,83194,4.8080390412770155,44654009.904560424,600,984,960,984,0,1,0,1,0,0
1070,3,2016-08-15,Counce,Hardin,42.0,W,344,640,27084229.0,Wichita Falls Police Department,TX,105405,2.8461647929415115,25695393.007921826,0,696,640,1040,0,1,0,1,0,0
1071,14,2015-03-24,Portsmouth,Portsmouth City,29.0,B,376,480,89740122.0,Wichita Police Department,KS,391731,3.5738810561329073,22908608.71363257,0,560,480,936,0,1,0,1,0,0
1072,1,2015-03-27,Oxnard,Ventura,26.0,B,0,0,12994704.0,Wicomico County Sheriff's Office,MD,80000,1.25,16243380.0,240,960,240,960,1,0,0,0,1,0
1073,1,2017-07-29,Melba,Owyhee,48.0,W,0,0,300000.0,Wilburton Police Department,OK,2567,38.955979742890534,11686793.92286716,0,125,0,125,0,1,0,1,0,0
1077,1,2016-08-12,Mesa,Maricopa,22.0,H,0,0,24655283.0,Williamson County Sheriff's Office,TN,232000,0.4310344827586207,10627277.155172415,560,480,560,480,0,1,0,0,1,0
1078,4,2015-09-09,Ashwaubenon,Brown,25.0,W,0,0,59835037.0,Wilmington Police Department,DE,70376,5.683755825849721,85021935.0346709,800,960,800,960,0,1,0,1,0,0
1079,1,2017-04-07,Kyle,Shannon,33.0,A,240,0,36703021.0,Wilmington Police Department,NC,124794,0.8013205763097585,29410885.940029167,672,460,672,700,0,1,0,1,0,0
1080,1,2017-06-01,Las Vegas,Clark,27.0,H,0,0,15566674.0,Wilson Police Department,NC,49479,2.0210594393581114,31461173.42711049,288,640,288,640,0,1,0,1,0,0
1081,3,2016-12-17,Arlington,,48.0,W,416,676,78167060.0,Winston-Salem Police Department,NC,248112,1.2091313600309537,31504747.85580705,0,640,676,1056,0,1,0,1,0,0
1082,1,2018-01-16,Gooding,Gooding,53.0,W,0,0,3695264.0,Winthrop Police Department,MA,18446,5.421229534858505,20032874.33589938,150,800,150,800,1,0,0,1,0,0
1085,1,2017-09-01,Mount Hope,Grant,45.0,W,16,488,5794743.0,Wood County Sheriff's Office,WV,53497,1.8692636970297403,10831902.723517207,0,850,488,866,0,1,0,0,1,0
1087,1,2018-03-25,Austin,,28.0,H,72,450,23466696.0,Wright County Sheriff's Office,MN,142505,0.7017297638679345,16467279.042840604,0,0,450,72,0,1,0,0,1,0
1088,2,2015-06-03,Delano,Kern,46.0,H,0,0,17161437.0,Wyoming Police Department,MI,76628,2.610012006055228,22395778.305580206,0,594,0,594,0,1,0,1,0,0
1090,2,2015-08-03,Powhatan County,Powhatan,71.0,W,0,630,18390408.0,Yamhill County Sheriff's Department,OR,42844,4.668098216786482,42924115.39538792,50,640,680,640,0,1,0,0,1,0
1091,1,2016-10-25,Elkton,Cecil,25.0,W,0,0,105296716.0,Yonkers Police Department,NY,200040,0.4999000199960008,52637830.433913216,160,700,160,700,1,0,0,1,0,0
1092,2,2016-10-17,Benton,Saline,17.0,W,0,800,36759699.0,York County Sheriff's Office,SC,165000,1.2121212121212122,22278605.454545457,0,480,800,480,0,1,0,0,1,0
1093,1,2015-09-25,Wilhoit,Yavapai,45.0,W,0,640,21357458.0,York Police Department,PA,43907,2.2775411665565852,48642489.80800328,160,919,800,919,0,1,0,1,0,0
1095,3,2016-03-13,Piedmont,,26.0,W,0,640,37269852.0,Yuma Police Department,AZ,99811,3.005680736592159,37340425.40401358,0,585,640,585,0,1,0,1,0,0
